rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,634,泉塘,31
2,230449265,ECHO-回声-,提督,817,泉塘,30
3,27660357,泉泉家の流星Ali,提督,826,泉塘,29
4,39863332,请激推吃块饼干饼,提督,208,泉塘,28
5,30571987,穆宝321321,提督,202,泉塘,27
6,32826022,柒玖さん,提督,72,泉塘,25
7,1865633553,俺果冻大亨,舰长,163,泉塘,30
8,1844901,INH桑,舰长,232,泉塘,27
9,9103707,-柒佑KeyU-,舰长,674,泉塘,26
10,100990414,沐竹-星间泉神教,舰长,826,泉塘,26
11,187213,我的现任同居小男友,舰长,588,泉塘,26
12,4470537,反正什么都没有_语,舰长,726,泉塘,26
13,3546643745999458,是小号-,舰长,88,泉塘,26
14,33504517,虾籽阳春面,舰长,200,泉塘,26
15,39276653,sphingo,舰长,570,泉塘,26
16,21930032,Mochizki,舰长,769,泉塘,26
17,569464277,技术力低下并且待机,舰长,484,泉塘,26
18,241407928,葉月-Hatsuki,舰长,518,泉塘,26
19,26117826,F常胜,舰长,348,泉塘,26
20,1590686072,o0O彼岸O0o,舰长,616,泉塘,25
21,455213092,爱吃芒果的Daydreamer,舰长,357,泉塘,25
22,2003512509,恆星製夢观测站,舰长,449,泉塘,25
23,15571,Einzithy,舰长,389,泉塘,25
24,8432843,大交叉-official,舰长,201,泉塘,25
25,2042392251,鹭玖鸢_stargaze,舰长,246,泉塘,25
26,32327404,彩虹米饭,舰长,286,泉塘,25
27,1688280199,星间泉channel,舰长,311,泉塘,25
28,85396059,河豚黑听中___,舰长,118,泉塘,25
29,9565962,猫娘才不萌呢,舰长,106,泉塘,24
30,13281308,Andersener,舰长,70,泉塘,24
31,38002734,我是个憨憨呢,舰长,216,泉塘,24
32,385860703,泉泉の五更雪落,舰长,152,泉塘,24
33,3546645272725664,伊娜1na,舰长,223,泉塘,24
34,2918786,异世界的舅舅舅舅,舰长,69,泉塘,24
35,2826543,粽里寻她千百度,舰长,201,泉塘,24
36,3546658994391044,一般路过神秘dd,舰长,147,泉塘,24
37,44097,Lycerisious_夕,舰长,68,泉塘,24
38,224607521,粥店王老板,舰长,166,泉塘,24
39,44987344,初见Yui,舰长,124,泉塘,24
40,337891,love小唧love,舰长,144,泉塘,24
41,22941517,子夜寄君書-,舰长,124,泉塘,24
42,1762132,奇Kiseki,舰长,90,泉塘,24
43,16653188,粉红玻璃心M4,舰长,151,泉塘,24
44,395869643,Oooverlord,舰长,125,泉塘,23
45,160803875,三箱辣条压压惊,舰长,125,泉塘,23
46,23053482,祖皇临古今,舰长,111,泉塘,23
47,182322636,紫色的夏,舰长,98,泉塘,23
48,8167154,炉石酒馆丶米乐,舰长,68,泉塘,23
49,295541604,樱井小汐,舰长,113,泉塘,23
50,305245439,逐影笔落,舰长,60,泉塘,23
51,1033953289,鸿儒之赋,舰长,76,泉塘,23
52,14430066,哀伤だよ,舰长,57,泉塘,23
53,396694871,翻不过来的咸鱼干,舰长,50,泉塘,23
54,493738704,时贰live,舰长,71,泉塘,22
55,1727168,皮皮的皮球,舰长,32,泉塘,22
56,3546589241019107,米汀家的月饼晴朗,舰长,57,泉塘,22
57,7220745,Juicefff,舰长,24,泉塘,22
58,3546753582238535,回声的又一个小号,舰长,59,泉塘,22
59,34105925,いっぺんしんでみる,舰长,49,泉塘,22
60,115789,四绪风,舰长,37,泉塘,22
61,14443753,冷烟QvQ,舰长,16,泉塘,22
62,20779899,一桐一人一,舰长,57,泉塘,22
63,7987592,星陨殇,舰长,34,泉塘,22
64,525513320,冬添,舰长,39,泉塘,22
65,328086627,莳祺鸢,舰长,60,泉塘,22
66,283795572,此间的彼方_,舰长,49,泉塘,22
67,1880194603,情绪总是温暖,舰长,9,泉塘,22
68,338182515,月见雪兔子,舰长,9,泉塘,22
69,349522683,混世魔王绘安眠,舰长,30,泉塘,21
70,502439224,好奇的华丽,舰长,24,泉塘,21
71,587084,朝月小仙女,舰长,24,泉塘,21
72,3537121686063609,_风风子,舰长,20,泉塘,21
73,318539936,徐聚聚,舰长,26,泉塘,21
74,310365520,一般路过幽魂,舰长,22,泉塘,21
75,23613722,Matarah_Okina,舰长,27,泉塘,21
76,1429151083,加班是不能停的,舰长,22,泉塘,21
77,11636892,暮乙乘舟,舰长,20,泉塘,21
78,15004780,北-墨羽,舰长,8,泉塘,21
79,8791467,SpikesTactical15,舰长,27,泉塘,21
80,390318569,Foxofwine,舰长,6,泉塘,21
81,315169216,桃酱软糖,舰长,9,泉塘,21
82,200677592,幽梦烟雨,舰长,28,泉塘,21
83,330851861,奇车漫漫步,舰长,27,泉塘,21
84,97219644,哈达尔,舰长,18,泉塘,21
85,541391425,花椒锅巴土豆,舰长,5,泉塘,21
86,5338866,秦のこころ,舰长,6,泉塘,21
87,410919720,愚鸟_渡渡,舰长,24,泉塘,21
88,399258692,_緒山-まひろ-みはり_,舰长,3,泉塘,21
89,398960971,Zar-1231,舰长,5,泉塘,21
90,397836254,荔枝or梨子,舰长,26,泉塘,21
91,396259135,爱吃瓜的瓜猫,舰长,10,泉塘,21
92,3546778645301481,魔女湖舅舅之家,舰长,26,泉塘,21
93,3546670862174383,不想喝没味道的水,舰长,27,泉塘,21
94,3546659577400096,吾宴煮,舰长,15,泉塘,21
95,348744748,墅崎,舰长,9,泉塘,21
96,34330751,手打柠檬气泡茶,舰长,27,泉塘,21
97,22949985,良心奸商,舰长,2,泉塘,21
98,1825665368,n-buna不投术不改名,舰长,16,泉塘,21
99,1817,塞戈德,舰长,21,泉塘,21
100,1793474342,晴天林雨,舰长,9,泉塘,21
101,1697648387,日常被祭旗啊,舰长,11,泉塘,21
102,16882590,木偶人r,舰长,5,泉塘,21
103,154289065,xwdx,舰长,11,泉塘,21
104,12131757,凑卡尔,舰长,24,泉塘,21
105,1212405814,菜苟_channel,舰长,28,泉塘,21
